"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"5033","RT @pendown: There were rumours that part of Kerala govt's flood relief funds are kept in #YesBank. Thankfully, not even a single penny in…",FALSE,0,NA,2020-03-07 15:00:05,FALSE,NA,"1236305628320223234",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SureshAbraham5",2,TRUE,FALSE,NA,NA
"5034","RT @YatinMota: First Victim of Yes Bank Crisis? #Yes_Bank #YesBank 

Indusind Bank Defers Board meet which was scheduled next week for Fund…",FALSE,0,NA,2020-03-07 15:00:04,FALSE,NA,"1236305623542685702",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","deepakmodi1983",70,TRUE,FALSE,NA,NA
"5035","No ATM Or Net Banking- Bank Withdrawal Only Option For #YesBank Customers https://t.co/i10WEioiU0",FALSE,1,NA,2020-03-07 15:00:03,FALSE,NA,"1236305619025420288",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Puneetvizh",3,FALSE,FALSE,NA,NA
"5036","We the retail investors of AT1 are the real casualty - everyone else has gone scot free @rbi @dasshaktikanta… https://t.co/utlPmJu4xD",FALSE,1,NA,2020-03-07 15:00:02,TRUE,NA,"1236305613581209601",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","smsaurabhmehta",3,FALSE,FALSE,NA,NA
"5037","RT @pbhushan1: Anil Ambani (of Rafale fame) &amp; Subhash Chandra (of Sudhir Chowdhury fame) were among the biggest dubious groups to whom larg…",FALSE,0,NA,2020-03-07 15:00:00,FALSE,NA,"1236305606815907844",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ParaRjs",1752,TRUE,FALSE,NA,NA
"5038","RT @ManiSan52335150: Yes Bank's willful defaulters

Adani Group - 14,730 crore
Ambani Group - 14,330 crore
Vedanta Group - 11,000 crore abo…",FALSE,0,NA,2020-03-07 14:59:59,FALSE,NA,"1236305602336325634",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","azhershareef33",872,TRUE,FALSE,NA,NA
"5039","RT @airnewsalerts: #SBI to respond by Monday to 'draft reconstruction plan' for crisis-hit #YesBank: Chairman Rajnish Kumar https://t.co/gf…",FALSE,0,NA,2020-03-07 14:59:56,FALSE,NA,"1236305587245174784",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","desh_bhkt",5,TRUE,FALSE,NA,NA
"5040","And modiji is also purchasing profit making banks like #YesBank https://t.co/9mdXeJfeqe",FALSE,2,NA,2020-03-07 14:59:52,FALSE,NA,"1236305573575966723",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Abhishe43017722",1,FALSE,FALSE,NA,NA
"5041","RT @Anilsaharan111: Public must have lessons from #PMCBank , #ICICI Scams,  
&amp;
#YesBank crisis that what is the value of Public sector Bank…",FALSE,0,NA,2020-03-07 14:59:50,FALSE,NA,"1236305563266330624",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","purnaprakash054",5,TRUE,FALSE,NA,NA
"5042","RT @Mohit97999364: Hatsoff to uncle's confidence on @YESBANK 

@stockskibaat @indian_stockss @datta_arvind @AdamBanerjee @Stockproteam @Nat…",FALSE,0,NA,2020-03-07 14:59:37,FALSE,NA,"1236305507570212864",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mohit33912144",32,TRUE,FALSE,NA,NA
"5043","@nsitharaman 

can i buy bitcoin with @yesbank loan?",FALSE,0,"shivaontrance",2020-03-07 14:59:29,FALSE,"1236305257413726208","1236305477530783744","33241685","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","shivaontrance",0,FALSE,FALSE,NA,NA
"5044","RT @pbhushan1: Anil Ambani (of Rafale fame) &amp; Subhash Chandra (of Sudhir Chowdhury fame) were among the biggest dubious groups to whom larg…",FALSE,0,NA,2020-03-07 14:59:25,FALSE,NA,"1236305459272921088",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VavvalManushyan",1752,TRUE,FALSE,NA,NA
"5045","RT @RAJAGOPALAN1951: Yes Bank @YESBANK collapse. @BJP4India Govt may investigate roles of Ashok Chawla Adarsh Kishore Chairmen of Yes Bank…",FALSE,0,NA,2020-03-07 14:59:24,FALSE,NA,"1236305454415798273",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Meshsi1502Kn",574,TRUE,FALSE,NA,NA
"5046","RT @PMNehru: Before anyone blames me, I would like to clarify that #YesBank was established in 2004. https://t.co/qV2w1QiMtf",FALSE,0,NA,2020-03-07 14:59:22,FALSE,NA,"1236305448132722689",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","belal_asdaq",4498,TRUE,FALSE,NA,NA
